Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude,date,Flare,Class,ID
19321,231,100,Dao,9,3,Beta,-5,-69,22/01/2001,,,1932136913
19311,335,100,Dso,9,7,Beta,5,48,23/01/2001,,,1931136914
19313,272,190,Eai,12,19,Beta,-7,-15,23/01/2001,,,1931336914
19316,249,130,Dao,6,6,Beta,-16,-38,23/01/2001,,,1931636914
19319,343,30,Dro,6,7,Beta,-18,56,23/01/2001,,,1931936914
19320,298,20,Dro,3,2,Beta,-24,11,23/01/2001,,,1932036914
19321,234,100,Dao,7,7,Beta,-6,-53,23/01/2001,,,1932136914
19311,335,140,Dao,10,11,Beta,6,62,24/01/2001,,,1931136915
19313,272,100,Cao,11,20,Beta-Gamma,-6,-1,24/01/2001,,,1931336915
19315,282,0,Axx,0,1,Alpha,-28,9,24/01/2001,,,1931536915
19316,250,100,Cao,7,8,Beta,-16,-23,24/01/2001,,,1931636915
19319,343,30,Bxo,7,5,Beta,-18,70,24/01/2001,,,1931936915
19320,298,10,Bxo,4,3,Beta,-23,25,24/01/2001,,,1932036915
19321,230,160,Dao,9,18,Beta,-6,-43,24/01/2001,,,1932136915
19322,273,10,Bxo,4,6,Beta,-23,0,24/01/2001,,,1932236915
19323,270,0,Bxo,2,2,Beta,-29,-3,24/01/2001,,,1932336915
19324,231,60,Bxo,2,4,Beta,10,-42,24/01/2001,,,1932436915
19311,336,230,Eao,12,9,Beta,6,76,25/01/2001,,,1931136916
19313,272,130,Dai,10,34,Beta-Gamma,-7,12,25/01/2001,,,1931336916
19316,249,100,Cao,6,9,Beta,-15,-11,25/01/2001,,,1931636916
19319,349,10,Axx,1,1,Alpha,-18,89,25/01/2001,,,1931936916
19320,299,30,Bxo,3,4,Beta,-23,39,25/01/2001,,,1932036916
19321,229,180,Dai,9,24,Beta,-6,-31,25/01/2001,,,1932136916
19322,276,20,Cro,6,7,Beta,-22,16,25/01/2001,,,1932236916
19323,270,20,Dao,5,4,Beta,-28,10,25/01/2001,,,1932336916
19324,231,30,Cso,3,4,Beta,9,-29,25/01/2001,,,1932436916
19311,333,60,Hsx,1,2,Alpha,5,86,26/01/2001,,,1931136917
19313,274,130,Eai,14,27,Beta-Gamma,-7,27,26/01/2001,,,1931336917
19316,250,80,Cao,5,10,Beta,-16,3,26/01/2001,,,1931636917
19320,297,0,Axx,0,1,Alpha,-24,50,26/01/2001,,,1932036917
19321,231,160,Dao,9,19,Beta,-5,-16,26/01/2001,,,1932136917
19322,279,40,Hsx,3,4,Alpha,-22,32,26/01/2001,,,1932236917
19323,270,10,Cro,5,3,Beta,-29,23,26/01/2001,,,1932336917
19324,231,10,Bxo,1,3,Beta,10,-16,26/01/2001,,,1932436917
19325,183,50,Cso,3,4,Beta,10,-64,26/01/2001,,,1932536917
19313,274,140,Eso,13,20,Beta,-7,40,27/01/2001,,,1931336918
19316,250,60,Cao,7,9,Beta,-17,16,27/01/2001,,,1931636918
19320,295,0,Axx,0,1,Alpha,-25,61,27/01/2001,,,1932036918
19321,231,250,Dao,9,23,Beta,-4,-3,27/01/2001,,,1932136918
19322,278,40,Cso,5,5,Beta,-22,44,27/01/2001,,,1932236918
19323,268,20,Cro,6,4,Beta,-29,34,27/01/2001,,,1932336918
19324,232,0,Bxo,0,2,Beta,10,-2,27/01/2001,,,1932436918
19325,184,50,Hsx,1,2,Alpha,10,-50,27/01/2001,,,1932536918
19326,261,20,Cso,4,1,Beta,27,27,27/01/2001,,,1932636918
19313,273,120,Dai,9,13,Beta-Gamma,-6,52,28/01/2001,,,1931336919
19316,250,40,Dao,6,5,Beta,-16,29,28/01/2001,,,1931636919
19321,231,250,Dai,10,28,Beta,-5,10,28/01/2001,,,1932136919
19322,277,50,Dso,6,5,Beta,-22,56,28/01/2001,,,1932236919
19325,184,60,Dso,5,6,Beta,11,-37,28/01/2001,,,1932536919
19326,261,50,Dso,6,5,Beta,27,40,28/01/2001,,,1932636919
19327,174,10,Bxo,3,2,Beta,17,-47,28/01/2001,,,1932736919
19313,272,30,Cso,9,7,Beta,-4,65,29/01/2001,,,1931336920
19316,251,0,Axx,1,1,Alpha,-14,44,29/01/2001,,,1931636920
19321,231,300,Dao,10,20,Beta,-4,24,29/01/2001,,,1932136920
19322,275,10,Axx,1,2,Alpha,-22,68,29/01/2001,,,1932236920
19325,182,50,Cso,5,6,Beta,10,-25,29/01/2001,,,1932536920
19326,260,40,Cso,6,3,Beta,28,53,29/01/2001,,,1932636920
19327,175,0,Bxo,2,2,Beta,14,-32,29/01/2001,,,1932736920
19328,265,40,Dao,5,3,Beta,6,58,29/01/2001,,,1932836920
19313,273,20,Dro,5,3,Beta,-4,79,30/01/2001,,,1931336921
19316,252,10,Bxo,1,2,Beta,-15,58,30/01/2001,,,1931636921
19321,231,210,Eai,12,27,Beta,-3,37,30/01/2001,,,1932136921
19322,274,10,Axx,1,1,Alpha,-22,80,30/01/2001,,,1932236921
19325,184,50,Dao,5,7,Beta,9,-10,30/01/2001,,,1932536921
19326,262,10,Axx,1,2,Alpha,26,68,30/01/2001,,,1932636921
19327,176,0,Axx,0,1,Alpha,14,-18,30/01/2001,,,1932736921
19328,267,40,Cso,4,3,Beta,5,73,30/01/2001,,,1932836921
19329,144,30,Dso,6,6,Beta,-10,-50,30/01/2001,,,1932936921
19321,232,150,Eai,11,20,Beta,-6,51,31/01/2001,,,1932136922
19325,185,30,Cso,5,4,Beta,10,4,31/01/2001,,,1932536922
19327,175,50,Dao,4,9,Beta,18,-6,31/01/2001,,,1932736922
19328,268,50,Hax,1,3,Alpha,6,87,31/01/2001,,,1932836922
19329,145,20,Cso,3,5,Beta,-10,-36,31/01/2001,,,1932936922
19330,114,100,Hsx,2,1,Alpha,24,-67,31/01/2001,,,1933036922
19331,154,50,Dao,3,3,Beta,13,-27,31/01/2001,,,1933136922
19332,157,20,Cso,3,3,Beta,8,-24,31/01/2001,,,1933236922
19321,234,80,Eao,12,13,Beta,-4,66,01/02/2001,,,1932136923
19325,185,20,Cao,6,5,Beta,9,17,01/02/2001,,,1932536923
19327,175,50,Dao,9,16,Beta,18,7,01/02/2001,,,1932736923
19329,145,20,Cso,7,5,Beta,-10,-23,01/02/2001,,,1932936923
19330,111,230,Eso,13,11,Beta,26,-57,01/02/2001,,,1933036923
19331,155,10,Axx,1,3,Alpha,13,-13,01/02/2001,,,1933136923
19332,158,20,Cro,3,7,Beta,8,-10,01/02/2001,,,1933236923
19321,236,110,Dao,10,6,Beta,-4,81,02/02/2001,,,1932136924
19325,187,30,Cao,2,3,Beta,10,32,02/02/2001,,,1932536924
19327,176,50,Dao,8,11,Beta,18,21,02/02/2001,,,1932736924
19329,149,10,Bxo,1,2,Beta,-11,-6,02/02/2001,,,1932936924
19330,111,220,Eao,12,12,Beta,25,-44,02/02/2001,,,1933036924
